track_id,track_name,artist_name,listeners,playcount
TRK-2ADDFA513D26,Base,Anthony Walker,12374,64949
TRK-821031FC49DB,Ground,Dean Russell,109518,990936
TRK-6DA17CE62E6A,Son former six follow beat,Jessica Perez,638,1932
TRK-0562567B4137,Dream,Andrea Hernandez,147905,2036694
TRK-0C09A5433748,Kind authority be,Jared Velez,393810,4002075
TRK-9C3C3B5053A7,When contain,Paul Fritz,897,2564
TRK-7E8F2B4680CD,Sort write save,Alejandra Santos,13708,80844
TRK-D42259A56D38,Him risk mouth,Rebecca Mcdaniel,16,24
TRK-156850ABA904,Challenge choose same,Jason Thomas,6,17
TRK-82D2DF1E4E84,Door,Dr. William Gill Jr.,386693,2654558
TRK-D4169CF6FD4A,Anyone deep,Scott Gray,12366,41160
TRK-CCCFB2BF468B,Call heavy option,Rachael Lloyd,15,17
TRK-9156792A0AAE,Civil same when,Alexander Hill,45503,203704
TRK-BC75F6F328FF,Become on,Elizabeth Steele,9,40
TRK-EA384367B22F,Since prevent TV,Robin Thomas,124,179
TRK-66BBCAE5C67B,Major edge,Richard Potts,1087,4694
TRK-8B8560C96539,Scientist report,Melanie Beck,18,63
TRK-CDC1DC19DA2B,Positive picture,Lindsey Brown,697,3241
TRK-E18417D6E1A6,Market serious simply,Ryan Davis Jr.,113,417
TRK-975E28AB7427,Attack that each,Linda Powell,5712,18419
TRK-9460F175E276,A fact on space,Ashley Morris,2164,5088
TRK-85ACB5EED0E0,Sister several red,Angela Gallagher,9523,41978
TRK-3B7AC075F20B,Visit,Sarah Bell,19486,113445
TRK-7366B18ADFBC,Shoulder design,Joanna Fisher,19,42
TRK-B7E01425B53D,Wife good,Rodney Davis,1259,3026
TRK-10587328AA15,Or,Bradley Martinez,94562,341879
TRK-4176E7357099,Clearly,Yolanda Duarte,44061,252747
TRK-4A1C522E0B6C,You fall decision,Timothy Jones,123936,594854
TRK-C7BF5E6885F1,Attorney,John Ramos,173,415
TRK-63F94C3B23B5,During direction,Alexis Williams,214,362
TRK-886787B6A84E,Benefit fill both,Michael Tanner,90,183
TRK-F581C367465D,Very,Steven Huff,109744,417784
TRK-63E68C14EC9D,So miss office girl they,Grace Cox,464,791
TRK-376A3143297A,Drive,Charles Patterson,1799353,15531084
TRK-0CAF6CB81D12,Major off,Nicole Perkins,68047,504033
TRK-549186D5215C,Meeting song pass store call,Rachel Sullivan,81,162
TRK-3B0055083FBD,Court expect task,Frank Anderson,58,63
TRK-22602F7906C5,Last fall difference,John Skinner,38483,471915
TRK-22619802049F,Sea,Crystal Hawkins,84643,358286
TRK-2A0726803D7D,Good anything manager think,Julie Herrera,142,852
TRK-EF908DDD864D,Media stock career owner,Rhonda Wallace,9,15
TRK-2FEA719F6FEC,Ever,Bruce Larsen,68736,279708
TRK-2FD9B61303C8,Energy best myself,Jillian Stephenson,73760,352744
TRK-4504539B8477,Because world,Christina Wilson,19,31
TRK-05B39C8A6186,Surface full yourself,Steven Smith,123,205
TRK-220461AD65C2,Realize,Emily Freeman,255083,2363815
TRK-939F5F727682,Wrong,Maria Kramer,73387,795512
TRK-66A22CFFE838,Hair blood cover probably,Patricia Vasquez,76,343
TRK-B7E24C61E741,Coach,Danielle Cline,28536,398669
TRK-C9017B9C6D5B,Try debate safe,Jean Holmes,414,1835
TRK-99BB0B1A4651,Product fish,Nancy Hernandez,107,1550
TRK-29E98AB97380,Shoulder,Lisa Mccarthy,35890,167893
TRK-29F1D87C815A,Ever wonder effect,Melissa Brown,42923,170498
TRK-963F6C685E9C,Should read again,Veronica Adams,21311,169433
TRK-44E1EA4BF9E9,Build for,Samantha Snow,353,959
TRK-C539245DC4CF,Attention enter,Denise Alexander,52816,258147
TRK-44E7B512F131,Late soon,Thomas Sutton,30,377
TRK-1EEFC6767DCE,Image same,Thomas Hogan,12,36
TRK-667CEC868859,Kid instead,Sarah Cruz,55700,501206
TRK-7AB0FCABBABC,Environment return,Stephanie Castro,26,34
TRK-AB12090BB028,Water forget,Rachel Beck,6871,20588
TRK-6E58A4FB7D7D,Place piece,Tracy Pope,269288,1156336
TRK-F28FE65F8A9F,Your garden,Natalie Robinson,1565,4065
TRK-8F78C4389A0D,Out never,Curtis Spence,2896,8889
TRK-C03DCBCEED06,Night American last series,Thomas Park,326,1056
TRK-B2131BF74069,Write pull,Jo Perkins,59333,388644
TRK-149DB9EE063F,Test store,Paul Norris,19602,135864
TRK-6E31A09649C9,Career,Sarah Ponce,4976,16671
TRK-44B20FA5C79E,Film,Brandon Barton,28944,354163
TRK-D0782F4EA81E,Major receive,Justin Moore,7222,26325
TRK-4D16B95CDE5B,Of,David Rivas,7876,39362
TRK-7B41DB77BC75,Even,Betty Gomez,51797,476037
TRK-F7BB498B33E5,Total while young light,Daniel Davidson,77,136
TRK-EC256BEADC2F,See or name,Brett Fowler,40136,330338
TRK-1EA85D6B9F1B,Idea type,Terry Jones,1186,4330
TRK-CCA070F21B50,Should blue,Daniel Murphy,12850,71539
TRK-E58707EA347D,Whether,Zachary Adams Jr.,42487,165111
TRK-4F27EFFF8F49,College,John Russell,148566,1544453
TRK-F2AC6F72353B,Strategy line that allow amount,Kyle Clark,6,9
TRK-C57183622BCB,Myself,Samantha Johnson,342194,4400027
TRK-C564952126DE,Work say,Bobby Williams,244777,1771142
TRK-6B7493E9DAEA,Break identify,Dr. William Mason MD,113,258
TRK-619A5EF130A7,Leave outside,Kelsey Nguyen,1917,6019
TRK-BCCC1FFD22DB,Clear sit,Marvin Foster,2150,19529
TRK-0379B052CE3D,Mission ball,Mary Pennington,4035,12151
TRK-F762E48E22A0,Letter,Bobby Andrews,2326,9903
TRK-B867C771EF8D,Large,Donna Cox,24275,112274
TRK-3A35009979BA,End pressure,Nancy Clements,279,783
TRK-DB44DCE84E1C,Western magazine nature force fire,Angela Lowe MD,11,43
TRK-061E2CB5B345,Debate ahead radio,Joshua Romero,3663,8070
TRK-919247E0EBCC,Law,Larry Hansen,34021,85130
TRK-C5AD9B2E1623,Stay not,Tiffany Brooks,432,1367
TRK-142011F02499,Conference read you experience,Amy Shepherd,125,227
TRK-A9CF9FB3C0C4,Once write,Martin Reed,130288,507860
TRK-4F1BF223ECC2,Standard,Nicole Mason,55625,399035
TRK-998ED124C12A,Light would,Glenn Murphy,53,76
TRK-57D0BDE46D9C,Meet,Brandon Clark,3244,11470
TRK-445515CE900D,Best mother fund,James Olson,41634,190388
TRK-19BF4EF75EBE,Book scientist,Crystal Pratt,3040,9148
TRK-4F0DA19749C7,Analysis develop against,Tammy Anderson,51,59
TRK-2942042A8BAF,Kind detail important,Michael Garcia,178,770
TRK-6E8E69F24CD3,Project radio teacher,Jamie Rush,79160,454574
TRK-776FF2252C0F,Still heavy part wall,Michael Cummings,39,99
TRK-DB3492BC6A27,Community word,Claire Jenkins,376,570
TRK-8CE3335630A0,Me thank,Jacob Townsend,783,2653
TRK-1E5FFAE34DD2,Three system full evidence,Amy Lopez,44,119
TRK-CB78647D671F,Only into situation,Andrew Johnson,534,3014
TRK-C7DEF2AAA0C7,Half attorney bring,Russell Flores,498,1398
TRK-5991BCDD07B4,Reach let,Stephen Mitchell,62652,412082
TRK-ED99D77AC703,Relationship,Christina Brown,3789,23518
TRK-C755D0F0C05B,Bar region,Jeremy Yu,118,304
TRK-8E200051F543,Forget major deal,Lori Martinez,688,2477
TRK-764CE9D0A06F,Whose section,Angela Meza,1453,2865
TRK-262B5A2B23DD,Inside walk,Scott Lynch,21281,115606
TRK-69BC500A0237,Upon,Monica Kim,17522,92397
TRK-AD680B64A3C3,Commercial woman offer,Jose Sharp,426,2611
TRK-FAF6FE3987D2,Game store yet,Lauren Carter,4087,18887
TRK-BEB6BA6DE3D3,Often,Douglas Dean,1257334,14590058
TRK-84B198445A9C,Sound this,Emily Bentley,143,324
TRK-57EF7D9624D4,Travel throw,Debra Mullins,4928,22037
TRK-29239FFA4C03,For that,Terry Parks,5312,18685
TRK-B4B3CA8BD7BD,Learn your institution weight add,Tina Mcguire,14,14
TRK-E0780516015A,Let again,Stephanie Fox,830475,13940224
TRK-8F37815313AB,Second office activity,Brandy Richards,118,280
TRK-F31A41FC12A4,Admit why group,Justin Saunders,14235,84694
TRK-319B719D529C,Meet character,Robert Macias,10,10
TRK-E5CD04600F70,American growth on quite,Nathan Harris,744,1013
TRK-0E0525BD1D8E,Hand develop alone,Daniel Hernandez,8220,53297
TRK-A476F1DD338F,School form,Robert Carter,157,382
TRK-A9BC676B256C,Make fly,Jared Peterson,14967,49258
TRK-6F2787478E93,Subject business,Laura Williams,6,8
TRK-C61004C83F6B,Rock field of though,Ethan Scott,419,1094
TRK-4EE671896388,President,Ronald Hernandez,59347,749825
TRK-3242283EA010,Own,Mark Arnold,6739,21696
TRK-5C9A2E55AA35,Could,Harold Price,44402,222669
TRK-E5E3CB4D3F13,Receive,Marcus Webb,2944,5863
TRK-4EF1C262055D,Person arm sign,Robert Pearson,921,2582
TRK-5CC758F7584D,Field someone,Elizabeth Davis,63720,276144
TRK-E8F77FAE5E1E,Party four,Susan Gonzalez,1235894,21676339
TRK-EC97A561A092,Arrive early,Aaron Gordon,112,236
TRK-01508D4DAC19,Hope,Anthony Walker,918841,11658626
TRK-23703CEBC91B,Behavior clearly all lot speech,Raymond Wood,45,50
TRK-BA6FBF1DFF44,Figure impact cup,Teresa Boyer,1251,4635
TRK-E629956ADB87,Foreign idea goal,Bridget Williamson,85,486
TRK-E636AAD8D497,Series just agreement say,Carly Baker,101,397
TRK-FE2180147DBB,Well opportunity,Courtney Smith,279,449
TRK-6AD06790E3DD,Protect better,Gabriella Dennis,72066,199994
TRK-489B81C50275,Professional home act,Carolyn Collins,9104,47287
TRK-23CFA2FE8D92,Cup,Martha Pierce,19564,271443
TRK-65934C17BA83,Term such education,Tamara Coleman,40,70
TRK-728656130955,Such second ago,Jack Lambert,7621,27663
TRK-629443C3E4C2,Next,Terry Wood,223959,2112793
TRK-62961C556C8C,Heart smile,Charles Bautista,369,851
TRK-3369BD07C8A5,Side,Mark Castro,434213,2497718
TRK-06BD4B173905,Instead born nearly,Thomas Hinton,23,436
TRK-B069A9D45DB9,Line yourself,Jennifer Smith,9,272
TRK-B499A2718E7E,Often wind increase,Janet Briggs,757,2178
TRK-8ECDFACFCAA7,Compare,Robert Fletcher,46863,218888
TRK-C64ADB734CBA,Near,Elizabeth Curtis,91818,647033
TRK-A676E198E552,Half central,Ricky Barajas,527,701
TRK-9203D663744E,Off,Elizabeth Villa,10049,52229
TRK-819D44A07361,Grow do,Janice Ramirez,147,318
TRK-27DBE8A58139,Herself,Sarah Richardson,458,866
TRK-DF22B2F87190,Different,Stacy Murphy,182447,2733429
TRK-C67F010AD661,Boy true,Erin Wilson,312724,2601751
TRK-CC2D27314127,Family,Regina Roman,120415,761825
TRK-EE88734A2929,Tree,Rebecca Campbell,82337,324831
TRK-FE33423B92AB,Threat often important,Benjamin Madden,52,64
TRK-5BCDC58931BD,Woman treat,Stanley Baldwin,66,175
TRK-338893706A8D,Morning continue,Valerie Garcia,105,294
TRK-C863EA6D9686,Up water shoulder,Brent Richards,2728,11474
TRK-722F6EED3A3E,Day cut maintain second,John Hughes,502,908
TRK-1AD4DD433786,Issue,Susan Harris,31791,386945
TRK-C24552673E88,Help chance travel,Todd Rodriguez,3751,15883
TRK-A210CCDC7ED9,Four guy,Jordan Stark,25,457
TRK-27C7E126F5B5,Long provide,Elizabeth Phillips,24,104
TRK-DF005E838DAA,Surface international,Charles Powell,15,56
TRK-5B6CE6A9A16C,Culture I adult,Mrs. Cheryl Black MD,270,652
TRK-76CEC8295651,Position start finish share,Kimberly Everett,129,170
TRK-F42C7A963A0E,Agent,Brenda Mcdonald,4721,11804
TRK-5B851636815C,Address role career,Kelly Stewart,1172,4131
TRK-A3ADDBE037A5,Claim statement according,Lindsey Powell,18,115
TRK-FA378BBBB4E9,Economy trade,Whitney Rogers,12,14
TRK-6952DDBF79DC,Green,Kimberly Murray,148129,1557338
TRK-4A55F3F908E1,Red walk lead,Stephanie Lee,3067,22220
TRK-379FBC85F3ED,Size,Pamela Hughes,16386,73927
TRK-59560827AE6C,Investment imagine car,Lisa Lucas,7691,39003
TRK-63D53B617B33,Turn good think purpose,Anthony Russell,11,12
TRK-C1BBB92D807D,Dream within,Gary Perez,259,934
TRK-C1C06A5850F3,Admit college world,Barry Cortez,4571,18551
TRK-69B4E50F3CD2,Summer such PM,Brenda Wilson,236,512
TRK-7FCC55574B28,Serious listen,Tracy Fields,1765,7481
TRK-413ACBA61B65,Under let back piece account,Jerome Shaw,10,11
TRK-7607DCBA673B,Spring support over,William Anderson,2498,9808
TRK-085D927D57EB,Strong,Brittany Davis,358665,3397828
TRK-C138DB551986,Turn certain decide,William Patrick,692,1681
TRK-40BA7F595BBC,Source film program,Teresa Haynes,417,817
TRK-40B4DEAD3F7A,There,Sara Stewart,62197,1000989
TRK-27B0B3CEB54A,Guy everyone,David Garner,47743,209628
TRK-4912D0766FAA,Age source,Patricia Beasley,14,31
TRK-6FF9A20DCAC6,Couple last,Marissa Schwartz,66,210
TRK-C69B3211CE20,National government prevent,Mark Oliver,1495,1797
TRK-345082A9358E,Cell yard,Kimberly Smith,383958,1729394
TRK-DBFEC999F9AA,Assume money economic,Danielle Watkins,8,12
TRK-B011B2F6A759,Should into,Natalie Gomez,499,1713
TRK-DC0DDCB34D0F,Source,Dan Bennett,103470,788251
TRK-8D4D270AF7F1,Husband people money,Kaitlin Gonzalez,104412,798768
TRK-A790B0EEDF7D,Million,Zoe Dunn,59838,372768
TRK-8D72E8978349,Throw,Brian Nichols,66506,629095
TRK-42CAAC432DB1,Poor,William Hughes,73090,436250
TRK-4E6701B6BB7F,Morning teach,William Clark,37537,146977
TRK-FE54AFE44607,Present sit,Edward George,1751,5910
TRK-983B19D0C613,Your I ball tonight,Bradley Jackson,174191,1097757
TRK-9B48F142DF08,Lose factor,James Little,11716,60068
TRK-1B1B992FE847,Compare half,Jim Tyler,832,1440
TRK-C6B75C1F0104,Believe appear,Gail Cherry,14,20
TRK-C6ACF1664B13,Give appear,Ethan Fowler,476,2303
TRK-76B981508CC9,Should significant,William Murphy,8,10
TRK-408181715A70,Senior actually yes popular actually,Wendy Bell,23,26
TRK-FF0A7F8038B4,Baby without fall,Alexis Taylor,59007,418629
TRK-588D54996EDB,Born,Elizabeth Newman,56084,380335
TRK-2719E693F58F,Pull others page,Laurie Watson,1351,6677
TRK-270FA7F1AD7C,Mean language history,Derek Chung,1491,5564
TRK-98677DAF0ADA,Lead begin,Corey Hill,3853,8141
TRK-429A94AE4D19,Camera,Stephanie Roach,94331,371836
TRK-DE91C913480B,Big,Jodi Bishop,152766,1759549
TRK-86642063E225,Role shake yeah body,Joshua Stone,31,48
TRK-BD8DBF858CF7,Drop company level,Haley Bishop,3632,13029
TRK-34BDDD38E39C,Any out,Felicia Cook,24,47
TRK-BA0AA8D4CA3A,Current gun bit,Juan Vaughn,49639,196674
TRK-5B0E9AF416D8,Method as act above even,Colleen Wilson,2628,16628
TRK-A7746C500576,Spend sure news,Brian Bautista,553,1583
TRK-9923D42A1C6B,Recognize fly,Allison Hale,26,40
TRK-FA6961C32E53,Practice rather,Nathan Mcneil,292,639
TRK-112CCFEFBB97,Us office,Anthony Cantrell,52,57
TRK-1123BDB019CF,Put,James Knight,34730,112319
TRK-6369A07A6C64,Commercial similar its,Kevin Pitts,10,10
TRK-889093F2A8F0,Create man,Nicole Rodriguez,60,442
TRK-35167093197C,Cold,Brian Peterson,703303,5016698
TRK-387D69A2DDDE,Scientist improve,Whitney Hill,41,56
TRK-71F59F5BF2DC,Like,Bradley Le,520847,11767307
TRK-C834289792D5,Civil,Kenneth Schmidt,2966,16362
TRK-80F89E5894C6,Three call per,Cindy Clarke,24299,88254
TRK-113F377D5EA2,Whole around window,Laura Richardson,8673,49042
TRK-A016F4A8DD26,Nice step final guy,Austin Raymond,35,42
TRK-0F429B4E83C1,Detail mother radio,Michael Thomas,3382,20907
TRK-0F2E085AF45D,Respond theory trouble,Claudia Davis,525,1846
TRK-F506CF11B502,Day worry building,Mary Murray,202720,1155183
TRK-26D43A475407,Throw leave,Darrell Dodson,10911,38748
TRK-26CBBC377D19,Would exactly between mind,Anita Torres,28,45
TRK-4E2646D24E5F,We,Andrew Bartlett,41272,257775
TRK-79AF781D862E,Foot food,Diana Jackson,75,634
TRK-79B14ED40D4A,Land check huge,Travis Figueroa,389,503
TRK-87610733A851,Sea name picture,Andrea Miller,274500,2317597
TRK-7D76B09CD94A,On person,Rachel Li,76,219
TRK-A91BFD0F9FB3,Letter know clear,Roy Jackson,14206,246117
TRK-A00E11208238,Cover even reason thank second,Cheryl Hansen,33,130
TRK-64D304333608,Wind agreement,Kevin Bryant,27,69
TRK-084FCB3E9E39,Yourself act,Mr. Walter Sullivan MD,50,184
TRK-07A69363B197,Growth task,Jeremiah Cox,2853,6468
TRK-07A7B4B53507,Participant herself something,Danielle Conway,231,718
TRK-DDE874CD412C,Simple political,Kyle Hendricks,15,29
TRK-35A0B67783E6,Rise head,Heather Fitzgerald,172949,1145315
TRK-988C0B568CA1,Watch,Daniel Oconnell,946043,11397068
TRK-0787E7387DEE,Toward consumer,Philip Rice,1432,3736
TRK-9241CFF80F55,Order floor author,Monica Collier,1221,7645
TRK-63A55667CCA1,Painting back rich,Angel Phillips,30687,190727
TRK-DE248B245373,Vote both challenge,Michael Flores,29,32
TRK-C70D124DB9C4,Time entire,Richard Mcdaniel,49,171
TRK-F5022663EE97,Simple common deep,Robert Ortiz,5885,33021
TRK-D9080F73FD92,Budget,Adrian Coleman,8895,42792
TRK-87E5DAFC3CF3,Speak top,Zachary Henderson,46403,308210
TRK-F08F320C9FCD,Great message next you,Donna Lawson,4362,13979
TRK-96AC737CDB60,Tend scientist,Lauren Roberts,26,42
TRK-FD5205FC52D7,Certainly politics,Patricia Nash,7,12
TRK-677F0FC0D24B,Dinner,Jesse Parker,88102,392991
TRK-0013872D465F,Each together,Richard Massey,7361,25813
TRK-D13203E105E1,Next better,Tim Baker,488714,6005422
TRK-FEA8D6EB81DA,Those know star,Ruben Williamson,65541,493038
TRK-B45290C09AFF,Turn memory finally,Christopher Mitchell,1224,2870
TRK-B453924B9BD9,Space,Joseph Duncan,70614,677658
TRK-C9F922E0B135,American peace three,Isaac Young,627,2942
TRK-EB86C8F8E35D,Charge rest point,Derek Parker,3788,10379
TRK-968C99BBEAB0,Million side,Nicholas Fowler,832,2592
TRK-BC3180D36592,Well sit,Sandra Flores,33216,116770
TRK-5FE0C7F6852D,Look begin,Helen Miller,30,3285
TRK-5FE5F57F90A3,Challenge,Benjamin Allison,17207,102659
TRK-047F6AC44B06,As best,Anthony Hernandez,178,320
TRK-2026830BE1DB,Alone let,Lisa Mckenzie,153,426
TRK-558CFB4CCB0B,Better,Ann Hancock,803227,9008631
TRK-8C140190471E,Organization life create,Thomas Clark,451,1376
TRK-AF0C7131C804,Street close,Jason Woods,109,196
TRK-FF9131E9C908,At season begin,Joseph Hampton,10505,26127
TRK-47D1C027397F,Since between other,Margaret Keith,150085,1269862
TRK-9368913BB9F1,Near hand nature,Amanda Harding,3605,8316
TRK-870E416718AB,Well drug,George Freeman,14094,61433
TRK-6490E4B4912E,Want black,Rebecca Brown,1300,4042
TRK-A176BFA5CAEE,Outside former official,Lisa Barnes,154,390
TRK-8C269F80CF3F,Whose,Tina Gregory,500,849
TRK-92DF94CEED91,Always make real,Michael Jackson,32015,412194
TRK-346B05C52A40,Later pay message,Samuel Gardner,17465,88162
TRK-F41D3279EB7E,Firm director trip,Aaron Lewis,564,1587
TRK-A1B225C6CBEC,Any paper,Laura Watson,2696,14266
TRK-46CD48F68587,Politics,Steven Barker,134396,1902799
TRK-4F08FBD13E0E,Born early,Nathaniel Hall,746,4129
TRK-C85CC6BF8467,Leg three,Leah Kennedy,5342,23980
TRK-7FE2FB04C417,Address owner operation,Sheila Bauer,8,37
TRK-E0A68CD3ED3F,Up,Rebecca Sanchez,662377,5365599
TRK-DCFA54A36741,Talk,Jamie Lucas,583803,9877328
TRK-65E8E5D6FBEA,Production house stand,Brianna Nguyen,73,235
TRK-89ED825EB369,Grow,Sean Wade DDS,40836,229436
TRK-C8642BB0760A,Rather pull,Catherine Pham,8081,19613
TRK-936564AC4451,Account soon,Andrew Gallegos,18,19
TRK-0A177E98D6AF,Future much,Lisa Hall,255,873
TRK-D9AA5E0DC93E,Hour forward particularly,Cassie Rodriguez,515,1404
TRK-BF8089FECA24,Rich,Cheryl Yoder,17681,56454
TRK-8979F3434FE9,Can also conference,Mitchell Young,13,28
TRK-5FC8EE93C2FB,They else season something,Douglas Davis,98,121
TRK-B8DEA26A6A61,Mention left,Taylor Johnston,71,72
TRK-82B310D06B05,Remain,Maurice Stout,244616,1297604
TRK-B60BFE9178AA,North hot commercial dream space,Kevin Huffman,14,23
TRK-17A5BAD9A579,Federal floor,Melissa Hansen,177,435
TRK-4536700BCC27,Imagine whole,Amber Rogers,720,3375
TRK-D878E7990573,Mind buy out,Mr. Phillip Brown,171168,1000854
TRK-E9014B8B491C,Save although,Johnny Serrano,54,81
TRK-13ABB5D82C9E,Serve beyond,Phillip Johnson,59,119
TRK-E8E2042DDAF6,Glass claim,Robert Eaton,2030,7743
TRK-ED2E829B592E,Star,Shirley Ball,408452,4298899
TRK-40724847E56A,Range star win,Peter Odom,8057,33191
TRK-24EF893D810C,How above far,Kevin Phillips,6790,63437
TRK-62C85B0E3939,Total north,Justin Russell,219,982
TRK-4E144B73ACC7,Trouble,Scott Jackson,1707914,13045767
TRK-9546D844F738,Gun professor,Jerry Martinez,6659,12970
TRK-D29A1906DFDA,Movement manager,Pamela Carson,400,739
TRK-4A9115ABA960,Add sell,Mrs. Carolyn Schneider,4289,12320
TRK-9EDC16C2A628,Yeah reveal how,Justin Morrison,2432,8668
TRK-F0192F8F419E,Inside believe,Vincent Williams,1366,7166
TRK-307584B1563C,Kid need front,Anthony Knight,7565,77340
TRK-02026258E889,Know,Shawn Ramirez,611220,4181699
TRK-B6D2B788A43A,Sea radio,Kenneth Robinson,1600,5489
TRK-53492D1A284C,Government fact,Barbara Roberts,153,299
